id;kota;provinsi;hsbgn
Kota_121;ACEH BARAT DAYA;Aceh;5667911
Kota_444;MINAHASA SELATAN;Sulawesi Utara;5668868
Kota_411;MOROWALI;Sulawesi Tengah;5675968
Kota_323;SANGGAU;Kalimantan Barat;5680000
Kota_143;BENGKULU SELATAN;Bengkulu;5690000
Kota_503;BOVEN DIGOEL;Papua Selatan;5690412
Kota_414;POSO;Sulawesi Tengah;5715625
Kota_26;SUBANG;Jawa Barat;5730000
Kota_284;LOMBOK BARAT;Nusa Tenggara Barat;5754407
Kota_440;KEPULAUAN SANGIHE;Sulawesi Utara;5766099
Kota_27;SUKABUMI;Jawa Barat;5770000
Kota_278;KARANGASEM;Bali;5770000
Kota_318;KUBU RAYA;Kalimantan Barat;5770000
Kota_28;SUMEDANG;Jawa Barat;5773397.115
Kota_274;BANGLI;Bali;5778760
Kota_37;KOTA SUKABUMI;Jawa Barat;5788684.133
Kota_118;KOTA TANGERANG;Banten;5790000
Kota_302;NAGEKEO;Nusa Tenggara Timur;5794003
Kota_310;SUMBA TIMUR;Nusa Tenggara Timur;5794003
Kota_86;MAGETAN;Jawa timur;5799000
Kota_415;SIGI;Sulawesi Tengah;5799826
Kota_281;KOTA DENPASAR;Bali;5800000
Kota_335;TABALONG;Kalimantan Selatan;5800000
Kota_383;BARRU;Sulawesi Selatan;5810000
Kota_442;KEPULAUAN TALAUD;Sulawesi Utara;5823753
Kota_303;NGADA;Nusa Tenggara Timur;5826331
Kota_145;BENGKULU UTARA;Bengkulu;5850000
Kota_160;TANJUNG JABUNG TIMUR;Jambi;5877500
Kota_294;ENDE;Nusa Tenggara Timur;5877593
Kota_79;GRESIK;Jawa timur;5886000
Kota_144;BENGKULU TENGAH;Bengkulu;5886806
Kota_292;ALOR;Nusa Tenggara Timur;5900107
Kota_298;MALAKA;Nusa Tenggara Timur;5900107
Kota_301;MANGGARAI TIMUR;Nusa Tenggara Timur;5900107
Kota_309;SUMBA TENGAH;Nusa Tenggara Timur;5900107
Kota_396;SIDENRENG RAPPANG;Sulawesi Selatan;5910000
Kota_392;LUWU UTARA;Sulawesi Selatan;5924054
Kota_68;KOTA SEMARANG;Jawa Tengah;5940000
Kota_337;TANAH LAUT;Kalimantan Selatan;5960000
Kota_385;BULUKUMBA;Sulawesi Selatan;5973054
Kota_401;TORAJA UTARA;Sulawesi Selatan;5973054
Kota_88;MOJOKERTO;Jawa timur;5985000
Kota_92;PAMEKASAN;Jawa timur;5985000
Kota_413;PARIGI MOUTONG;Sulawesi Tengah;5990000
Kota_72;KOTA SURAKARTA;Jawa Tengah;6000000
Kota_390;LUWU;Sulawesi Selatan;6000000
Kota_386;ENREKANG;Sulawesi Selatan;6011239
Kota_108;KOTA MOJOKERTO;Jawa timur;6017000
Kota_47;BOYOLALI;Jawa Tengah;6020000
Kota_391;LUWU TIMUR;Sulawesi Selatan;6049239
Kota_290;KOTA BIMA;Nusa Tenggara Barat;6050000
Kota_138;KOTA BANDA ACEH;Aceh;6060000
Kota_387;GOWA;Sulawesi Selatan;6079734
